games/url,games/pgn,games/time_control,games/end_time,games/rated,games/tcn,games/uuid,games/initial_setup,games/fen,games/time_class,games/rules,games/white/rating,games/white/result,games/white/@id,games/white/username,games/white/uuid,games/black/rating,games/black/result,games/black/@id,games/black/username,games/black/uuid,games/eco
https://www.chess.com/game/live/4427803463,"[Event ""Live Chess""]
[Site ""Chess.com""]
[Date ""2020.01.23""]
[Round ""-""]
[White ""rslep""]
[Black ""EliteBarbs13""]
[Result ""0-1""]
[CurrentPosition ""4r3/pppk1ppp/8/5r2/5P2/2Pn2P1/PP5P/2K3R1 w - -""]
[Timezone ""UTC""]
[ECO ""C44""]
[ECOUrl ""https://www.chess.com/openings/Ponziani-Opening-Jaenisch-Counterattack-4.d4""]
[UTCDate ""2020.01.23""]
[UTCTime ""17:50:42""]
[WhiteElo ""910""]
[BlackElo ""1163""]
[TimeControl ""180""]
[Termination ""EliteBarbs13 won by resignation""]
[StartTime ""17:50:42""]
[EndDate ""2020.01.23""]
[EndTime ""17:52:52""]
[Link ""https://www.chess.com/game/live/4427803463""]

1. e4 {[%clk 0:02:59.9]} 1... e5 {[%clk 0:02:59.9]} 2. Nf3 {[%clk 0:02:59.8]} 2... Nc6 {[%clk 0:02:58.3]} 3. c3 {[%clk 0:02:59.1]} 3... Nf6 {[%clk 0:02:56.3]} 4. d4 {[%clk 0:02:58.5]} 4... d6 {[%clk 0:02:54.8]} 5. dxe5 {[%clk 0:02:55.1]} 5... dxe5 {[%clk 0:02:54]} 6. Qxd8+ {[%clk 0:02:53.8]} 6... Kxd8 {[%clk 0:02:53.2]} 7. Nxe5 {[%clk 0:02:52]} 7... Nxe5 {[%clk 0:02:51.9]} 8. Bf4 {[%clk 0:02:50.9]} 8... Bd6 {[%clk 0:02:50.2]} 9. Bxe5 {[%clk 0:02:45.9]} 9... Bxe5 {[%clk 0:02:49.2]} 10. Nd2 {[%clk 0:02:45.2]} 10... Re8 {[%clk 0:02:29.8]} 11. Nf3 {[%clk 0:02:29.8]} 11... Nxe4 {[%clk 0:02:25.8]} 12. O-O-O+ {[%clk 0:02:25.6]} 12... Bd7 {[%clk 0:02:19.1]} 13. Nxe5 {[%clk 0:02:19.4]} 13... Rxe5 {[%clk 0:02:14.7]} 14. f4 {[%clk 0:02:18.6]} 14... Rf5 {[%clk 0:02:05.6]} 15. g3 {[%clk 0:02:15.2]} 15... Nf2 {[%clk 0:02:04.2]} 16. Rxd7+ {[%clk 0:02:12.7]} 16... Kxd7 {[%clk 0:02:03]} 17. Rg1 {[%clk 0:02:11.8]} 17... Re8 {[%clk 0:01:59.1]} 18. Bd3 {[%clk 0:02:09.9]} 18... Nxd3+ {[%clk 0:01:56.2]} 0-1
",180,1579801972,false,mC0Kgv5Qks!TlBZRBKRKd787vKQKcD9RDKRKbl?8lvTCec6ZvK8KnDKLowCndZ7Zhg48ftnt,d985173b-3e08-11ea-82e2-eb3d40010001,,4r3/pppk1ppp/8/5r2/5P2/2Pn2P1/PP5P/2K3R1 w - -,blitz,chess,910,resigned,https://api.chess.com/pub/player/rslep,rslep,793ce13c-f713-11e8-8024-000000000000,1163,win,https://api.chess.com/pub/player/elitebarbs13,EliteBarbs13,d35dcd9c-9987-11e7-802c-000000000000,https://www.chess.com/openings/Ponziani-Opening-Jaenisch-Counterattack-4.d4
https://www.chess.com/game/live/4427810864,"[Event ""Live Chess""]
[Site ""Chess.com""]
[Date ""2020.01.23""]
[Round ""-""]
[White ""EliteBarbs13""]
[Black ""rslep""]
[Result ""1-0""]
[CurrentPosition ""r1bqkbnr/ppp2ppp/3p4/3P4/3QP3/8/PPP2PPP/RNB1KB1R b KQkq -""]
[Timezone ""UTC""]
[ECO ""C45""]
[ECOUrl ""https://www.chess.com/openings/Scotch-Game-3...d6""]
[UTCDate ""2020.01.23""]
[UTCTime ""17:52:58""]
[WhiteElo ""1163""]
[BlackElo ""910""]
[TimeControl ""180""]
[Termination ""EliteBarbs13 won by resignation""]
[StartTime ""17:52:58""]
[EndDate ""2020.01.23""]
[EndTime ""17:53:27""]
[Link ""https://www.chess.com/game/live/4427810864""]

1. e4 {[%clk 0:02:59.9]} 1... e5 {[%clk 0:02:59.9]} 2. Nf3 {[%clk 0:02:59.5]} 2... d6 {[%clk 0:02:58.4]} 3. d4 {[%clk 0:02:56.9]} 3... Nc6 {[%clk 0:02:54.4]} 4. d5 {[%clk 0:02:55.1]} 4... Nd4 {[%clk 0:02:52.7]} 5. Nxd4 {[%clk 0:02:52.3]} 5... exd4 {[%clk 0:02:51.2]} 6. Qxd4 {[%clk 0:02:51.3]} 1-0
",180,1579802007,false,mC0KgvZRlB5QBJQBvBKBdB,2f5e53f4-3e09-11ea-82e2-eb3d40010001,,r1bqkbnr/ppp2ppp/3p4/3P4/3QP3/8/PPP2PPP/RNB1KB1R b KQkq -,blitz,chess,1163,win,https://api.chess.com/pub/player/elitebarbs13,EliteBarbs13,d35dcd9c-9987-11e7-802c-000000000000,910,resigned,https://api.chess.com/pub/player/rslep,rslep,793ce13c-f713-11e8-8024-000000000000,https://www.chess.com/openings/Scotch-Game-3...d6
